video_name,event_name,start_frame_num,end_frame_num,lstm_category
Front-60fps.mp4,Shot,461,534,Shot_Status
Front-60fps.mp4,Shot,902,981,Shot_Status
Front-60fps.mp4,Shot,1654,1738,Shot_Status
Front-60fps.mp4,Shot,2232,2307,Shot_Status
Front-60fps.mp4,Shot,2817,2892,Shot_Status
Front-60fps.mp4,Shot,3275,3347,Shot_Status
Front-60fps.mp4,Shot,3834,3912,Shot_Status
Front-60fps.mp4,Shot,4386,4464,Shot_Status
Front-60fps.mp4,Shot,4879,4959,Shot_Status
Front-60fps.mp4,Shot,5271,5351,Shot_Status
Front-60fps.mp4,Shot,5683,5756,Shot_Status
Front-60fps.mp4,Shot,6406,6489,Shot_Status
Front-60fps.mp4,Shot,7246,7332,Shot_Status
Front-60fps.mp4,Shot,7904,7986,Shot_Status
Front-60fps.mp4,Shot,8849,8929,Shot_Status
Front-60fps.mp4,Shot,9629,9711,Shot_Status
Front-60fps.mp4,Shot,10031,10115,Shot_Status
Front-60fps.mp4,Shot,11013,11107,Shot_Status
Front-60fps.mp4,Shot,11432,11499,Shot_Status
Front-60fps.mp4,Shot,11982,12059,Shot_Status
Front-60fps.mp4,Shot,12738,12819,Shot_Status
Front-60fps.mp4,Shot,13630,13709,Shot_Status
Front-60fps.mp4,Shot,14359,14442,Shot_Status
Front-60fps.mp4,Shot,15078,15158,Shot_Status
Front-60fps.mp4,Shot,15605,15694,Shot_Status
Front-60fps.mp4,Shot,16217,16298,Shot_Status
Front-60fps.mp4,Shot,16731,16820,Shot_Status
Front-60fps.mp4,Shot,18247,18328,Shot_Status
Front-60fps.mp4,Shot,18845,18923,Shot_Status
Front-60fps.mp4,Shot,19779,19862,Shot_Status
Front-60fps.mp4,Shot,20163,20244,Shot_Status
Front-60fps.mp4,Shot,20734,20814,Shot_Status
Front-60fps.mp4,Shot,21244,21332,Shot_Status
